ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000066.SZ,20220701,10.8,11.06,10.75,10.76,10.82,-0.06,-0.5545,302277.17,329502.961
000066.SZ,20220630,10.81,10.97,10.78,10.82,10.79,0.03,0.278,233338.86,253138.753
000066.SZ,20220629,10.82,11.08,10.7,10.79,10.87,-0.08,-0.736,414589.67,451147.849
000066.SZ,20220628,10.6,10.87,10.5,10.87,10.67,0.2,1.8744,323739.88,348002.41
000066.SZ,20220627,10.72,10.76,10.6,10.67,10.72,-0.05,-0.4664,260702.03,278485.024
000066.SZ,20220624,10.5,11.04,10.49,10.72,10.41,0.31,2.9779,455498.11,491452.625
000066.SZ,20220623,10.25,10.42,10.14,10.41,10.13,0.28,2.7641,243831.25,250986.78
000066.SZ,20220622,10.48,10.5,10.11,10.13,10.48,-0.35,-3.3397,273021.53,280377.441
000066.SZ,20220621,10.72,10.76,10.38,10.48,10.79,-0.31,-2.873,314136.26,331314.369
000066.SZ,20220620,10.7,10.88,10.55,10.79,10.66,0.13,1.2195,345337.66,370732.948
000066.SZ,20220617,10.53,10.66,10.33,10.66,10.55,0.11,1.0427,274167.03,288874.548
000066.SZ,20220616,10.7,10.82,10.53,10.55,10.7,-0.15,-1.4019,254641.54,271673.119
000066.SZ,20220615,10.72,10.93,10.67,10.7,10.7,0.0,0.0,388848.01,419502.397
000066.SZ,20220614,10.6,10.72,10.32,10.7,10.76,-0.06,-0.5576,338595.9,356159.221
000066.SZ,20220613,10.6,10.91,10.52,10.76,10.71,0.05,0.4669,507205.51,543247.816
000066.SZ,20220610,10.64,11.08,10.62,10.71,10.71,0.0,0.0,726939.68,787650.95
000066.SZ,20220609,11.0,11.0,10.69,10.71,11.09,-0.38,-3.4265,481236.33,519599.209
000066.SZ,20220608,10.8,11.46,10.78,11.09,10.92,0.17,1.5568,869661.59,971521.917
000066.SZ,20220607,10.54,10.95,10.39,10.92,10.53,0.39,3.7037,651523.28,694404.742
